1,Bulbasaur,2
2,Ivysaur,2
3,Venusaur,2
4,Charmander,2
5,Charmeleon,2
6,Charizard,2
7,Squirtle,2
8,Wartortle,2
9,Blastoise,2
10,Caterpie,1
11,Metapod,1
12,Butterfree,2
13,Weedle,1
14,Kakuna,1
15,Beedrill,2
16,Pidgey,1
17,Pidgeotto,1
18,Pidgeot,1
19,Rattata,0
20,Raticate,1
21,Spearow,0
22,Fearow,1
23,Ekans,1
24,Arbok,2
25,Pikachu,2
26,Raichu,2
27,Sandshrew,1
28,Sandslash,2
29,Nidoran_F,1
30,Nidorina,1
31,Nidoqueen,2
32,Nidoran_M,1
33,Nidorino,1
34,Nidoking,2
35,Clefairy,1
36,Clefable,2
37,Vulpix,2
38,Ninetales,2
39,Jigglypuff,2
40,Wigglytuff,2
41,Zubat,0
42,Golbat,1
43,Oddish,1
44,Gloom,2
45,Vileplume,2
46,Paras,1
47,Parasect,2
48,Venonat,1
49,Venomoth,2
50,Diglett,1
51,Dugtrio,2
52,Meowth,1
53,Persian,2
54,Psyduck,1
55,Golduck,2
56,Mankey,1
57,Primeape,2
58,Growlithe,2
59,Arcanine,2
60,Poliwag,1
61,Poliwhirl,2
62,Poliwrath,2
63,Abra,1
64,Kadabra,2
65,Alakazam,2
66,Machop,1
67,Machoke,1
68,Machamp,2
69,Bellsprout,1
70,Weepinbell,1
71,Victreebel,2
72,Tentacool,1
73,Tentacruel,2
74,Geodude,1
75,Graveler,2
76,Golem,2
77,Ponyta,2
78,Rapidash,2
79,Slowpoke,1
80,Slowbro,2
81,Magnemite,1
82,Magneton,2
83,Farfetch'd,2
84,Doduo,0
85,Dodrio,1
86,Seel,2
87,Dewgong,2
88,Grimer,1
89,Muk,2
90,Shellder,1
91,Cloyster,2
92,Gastly,2
93,Haunter,2
94,Gengar,2
95,Onix,1
96,Drowzee,1
97,Hypno,2
98,Krabby,1
99,Kingler,2
100,Voltorb,1
101,Electrode,2
102,Exeggcute,1
103,Exeggutor,2
104,Cubone,1
105,Marowak,1
106,Hitmonlee,2
107,Hitmonchan,2
108,Lickitung,1
109,Koffing,1
110,Weezing,2
111,Rhyhorn,1
112,Rhydon,2
113,Chansey,2
114,Tangela,1
115,Kangaskhan,2
116,Horsea,1
117,Seadra,1
118,Goldeen,1
119,Seaking,2
120,Staryu,1
121,Starmie,2
122,Mr.Mime,2
123,Scyther,2
124,Jynx,2
125,Electabuzz,2
126,Magmar,2
127,Pinsir,1
128,Tauros,1
129,Magikarp,2
130,Gyarados,2
131,Lapras,2
132,Ditto,100
133,Eevee,2
134,Vaporeon,2
135,Jolteon,2
136,Flareon,2
137,Porygon,2
138,Omanyte,2
139,Omastar,2
140,Kabuto,2
141,Kabutops,2
142,Aerodactyl,2
143,Snorlax,2
144,Articuno,100
145,Zapdos,100
146,Moltres,100
147,Dratini,2
148,Dragonair,2
149,Dragonite,2
150,Mewtwo,100
151,Mew,100
